nutzungsart;vermarktungsart;objektart;neubau;plz;ort;strasse;wohnflaeche;grundstuecksflaeche;anzahl_zimmer;anzahl_schlafzimmer;anzahl_badezimmer;Ursprünglicher Angebotspreis;Angebotspreis;Realer Kaufpreis;baujahr;zustand;etagen_zahl;balkon;terrasse;unterkellert;energieausweisbaujahr;auftragvon;auftragbis;auftragsart;verkauft_am
wohnen;kauf;haus;0;97084;Würzburg;;225.0;480.0;7.0;5;3;0;950000.0;;1990;Teil- oder vollsaniert;0;1;0;JA;2016;;;;
wohnen;kauf;haus;0;97084;Würzburg;;131.82;0;4.0;0;0;0;600000.0;;2022;;0;0;1;JA;2022;;;;
wohnen;kauf;haus;0;97084;Würzburg;;235.0;538.0;10.0;0;0;0;729000.0;;1970;;0;0;0;JA;1970;;;;
wohnen;kauf;haus;0;97084;Würzburg;;197.0;372.0;8.0;5;3;0;495000.0;;1937;Teil- oder vollrenovierungsbedürftig;0;0;0;JA;1937;;;;
wohnen;kauf;haus;0;97084;Würzburg;;50.0;0;0;0;0;0;50000.0;;1999;;0;0;0;NEIN;1999;;;;
wohnen;kauf;haus;0;97074;Würzburg;;73.0;230.0;5.0;0;0;0;420000.0;;1986;Neuwertig;0;1;1;JA;1986;;;;
wohnen;kauf;haus;0;97074;Würzburg;;161.0;920.0;5.0;3;2;0;525000.0;;1973;;0;1;0;JA;1973;;;;
wohnen;kauf;haus;0;97286;Winterhausen;;0;1744.0;0;0;0;0;23000.0;;;;0;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97082;Würzburg;;240.0;1224.0;7.0;0;0;0;1050000.0;;1978;Teil- oder vollrenoviert;3;1;1;NEIN;1978;;;;
wohnen;kauf;haus;0;97082;Würzburg;;180.0;2480.0;9.0;0;0;0;1585000.0;;1964;;2;1;1;JA;1964;;;;
wohnen;kauf;haus;0;97218;Gerbrunn;;140.0;100.0;5.0;0;0;0;370000.0;;1960;Teil- oder vollrenoviert;3;1;0;JA;1960;;;;
wohnen;kauf;haus;0;97082;Würzburg;;450.0;1230.0;9.0;5;4;0;2900000.0;;1991;;0;0;1;JA;1993;;;;
wohnen;kauf;haus;0;97218;Gerbrunn;;210.0;1180.0;7.0;0;0;0;;;1967;;2;1;1;JA;1967;;;;
wohnen;kauf;haus;0;97218;Gerbrunn;;254.0;658.0;6.0;3;2;0;790000.0;;1987;;0;0;1;JA;1987;;;;
wohnen;kauf;haus;0;97074;Würzburg;;215.0;996.0;8.0;0;0;0;980000.0;;1961;;0;0;0;NEIN;2007;;;;
wohnen;kauf;haus;0;97082;Würzburg;;262.0;1464.0;7.0;5;2;0;1749000.0;;1968;;0;0;1;JA;1968;;;;
wohnen;kauf;haus;0;97074;Würzburg;;300.0;650.0;10.0;7;4;0;1250000.0;;1978;;1;1;1;JA;1978;;;;
wohnen;kauf;haus;0;97218;Gerbrunn;;131.0;0;0;0;0;0;;;;Projektiert;0;0;0;JA;;;;;
wohnen;kauf;haus;0;97082;Würzburg;;95.0;1916.0;0;0;0;0;1100000.0;;2006;;0;1;1;NEIN;2006;;;;
wohnen;kauf;haus;0;97074;Würzburg;;210.0;880.0;7.0;3;2;0;985000.0;;1982;;0;0;0;NEIN;1982;;;;
wohnen;kauf;haus;0;97286;Sommerhausen;;303.0;1014.0;9.0;3;2;0;1080000.0;;;Altbau;0;0;0;JA;;;;;
wohnen;kauf;haus;0;97218;Gerbrunn;;120.0;1175.0;3.0;1;1;0;690000.0;;1979;;0;0;0;NEIN;1979;;;;
wohnen;kauf;haus;0;97074;Würzburg;;150.0;887.0;6.0;0;0;0;610000.0;;1955;Abrissobjekt;0;0;1;JA;1955;;;;
wohnen;kauf;haus;0;97286;Sommerhausen;;141.0;208.0;5.0;0;0;0;570000.0;;2016;;0;0;0;NEIN;2016;;;;
wohnen;kauf;haus;1;97070;Würzburg;;121.5;300.0;4.0;0;0;0;276500.0;;;Neubau;0;0;1;NEIN;;;;;
wohnen;kauf;haus;0;97204;Höchberg;;186.0;1055.0;5.0;0;0;0;999000.0;;2021;Projektiert;2;0;0;NEIN;2021;;;;
wohnen;kauf;haus;0;97076;Würzburg;;201.0;0;10.0;0;0;0;1449000.0;;2021;Erstbezug;0;0;0;NEIN;2021;;;;
wohnen;kauf;haus;0;97080;Würzburg;;422.0;0;0;0;0;0;2050000.0;;1950;;0;1;0;JA;1955;;;;
wohnen;kauf;haus;0;97080;Würzburg;;496.0;555.0;21.0;0;0;0;1650000.0;;1952;;0;0;0;NEIN;1952;;;;
wohnen;kauf;haus;0;97078;Würzburg;;220.0;400.0;9.0;6;3;0;519900.0;;1938;;0;1;1;NEIN;1990;;;;
wohnen;kauf;haus;0;97076;Würzburg;;187.0;781.0;6.0;0;2;0;860000.0;;1990;;0;0;1;JA;1990;;;;
wohnen;kauf;haus;0;97078;Würzburg;;216.0;146.0;9.0;0;0;0;369000.0;;;;0;1;0;NEIN;1970;;;;
wohnen;kauf;haus;0;97076;Würzburg;;120.0;168.0;4.0;0;0;0;325000.0;;1976;;0;0;1;JA;1976;;;;
wohnen;kauf;haus;0;97070;Würzburg;;191.0;3278.0;4.0;0;2;0;1860000.0;;;;0;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97078;Würzburg;;345.0;775.0;9.0;0;0;0;1100000.0;;1977;;3;1;0;NEIN;2010;;;;
wohnen;kauf;haus;0;97078;Würzburg;;235.0;400.0;8.0;0;0;0;560000.0;;1938;Teil- oder vollsaniert;4;1;0;JA;1990;;;;
wohnen;kauf;haus;0;97078;Würzburg;;148.0;161.0;7.0;0;0;0;475000.0;;1978;;3;0;0;NEIN;1978;;;;
wohnen;kauf;haus;0;97078;Würzburg;;124.5;0;5.0;0;0;0;;;2021;Projektiert;2;0;0;NEIN;2021;;;;
wohnen;kauf;haus;0;97080;Würzburg;;131.0;0;0;0;0;0;;;;Projektiert;0;0;0;JA;;;;;
wohnen;kauf;haus;0;97337;Dettelbach;;144.0;880.0;4.0;3;1;0;510000.0;;;;0;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97337;Dettelbach;;142.0;880.0;5.0;4;1;0;490000.0;;;;0;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97337;Dettelbach;;263.0;880.0;8.0;6;2;0;620000.0;;2021;Erstbezug;0;0;0;NEIN;2021;;;;
wohnen;kauf;haus;0;97078;Würzburg;;390.0;736.0;16.0;0;0;0;698000.0;;;Teil- oder vollsaniert;0;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97199;Ochsenfurt;;83.0;1700.0;3.0;0;0;0;260000.0;;1952;;0;0;1;JA;1952;;;;
wohnen;kauf;haus;0;97318;Biebelried;;140.0;0;5.0;0;0;0;258000.0;;2020;Projektiert;2;0;0;NEIN;2020;;;;
wohnen;kauf;haus;0;97318;Biebelried;;134.0;610.0;4.0;0;0;0;344000.0;;2020;Projektiert;0;0;0;NEIN;2020;;;;
wohnen;kauf;haus;0;97318;Biebelried;;170.0;610.0;6.0;0;0;0;374000.0;;;Projektiert;0;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97318;Kitzingen;;170.0;0;7.0;0;0;0;310000.0;;1962;;3;0;0;NEIN;1962;;;;
wohnen;kauf;haus;0;97080;Würzburg;;130.0;409.0;5.0;3;2;0;415000.0;;1974;Teil- oder vollrenovierungsbedürftig;0;1;1;JA;1974;;;;
wohnen;kauf;haus;0;97299;Zell;;250.0;580.0;10.0;0;1;0;850000.0;;1982;Teil- oder vollsaniert;3;0;0;JA;1982;;;;
wohnen;kauf;haus;0;97199;Ochsenfurt;;190.0;970.0;8.0;5;3;0;529900.0;;1970;;0;1;1;NEIN;1970;;;;
wohnen;kauf;haus;0;97080;Würzburg;;137.0;1575.0;4.0;2;2;0;599000.0;;1971;;0;1;1;NEIN;1971;;;;
wohnen;kauf;haus;0;97209;Veitshöchheim;;120.0;281.0;4.0;3;2;0;469000.0;;1976;;0;0;1;JA;1976;;;;
