GENESIS-Tabelle: 13211-01-03-5-B;;;;;;;;
Arbeitslose nach ausgewählten Personengruppen -;;;;;;;;
Jahresdurchschnitt - regionale Ebenen;;;;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;;;;
Jahr: 2019;;;;;;;;
;;Arbeitslose insgesamt;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose
;;;und zwar;und zwar;und zwar;und zwar;und zwar;und zwar
;;;Ausländer;schwerbehindert;15 bis unter 20 Jahre;15 bis unter 25 Jahre;55 bis unter 65 Jahre;langzeitarbeitslos
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
1001000;Flensburg, krsfr. Stadt;4174;995;230;102;489;634;1276
1002000;Kiel, krsfr. Stadt;10556;2895;489;156;832;1696;3849
1003000;Lübeck, krsfr. Stadt;8400;1986;423;164;763;1480;2880
1004000;Neumünster, krsfr. Stadt;3386;733;194;98;389;577;1202
1051001;Albersdorf;125;19;2;4;18;19;43
1051002;Arkebek;5;1;.;.;0;1;3
1051003;Averlak;9;0;0;0;1;2;3
1051004;Bargenstedt;16;0;3;0;1;6;5
1051005;Barkenholm;2;0;0;0;0;1;0
1051006;Barlt;20;2;0;0;2;6;4
1051008;Bergewöhrden;1;.;0;0;0;.;0
1051010;Brickeln;4;.;0;0;0;2;2
1051011;Brunsbüttel;335;72;21;16;43;58;86
1051012;Buchholz;18;1;2;0;3;4;4
1051013;Büsum;153;38;8;3;16;42;27
1051014;Büsumer Deichhausen;10;3;0;0;1;2;2
1051015;Bunsoh;20;.;1;1;3;3;5
1051016;Burg (Dithmarschen);149;10;6;3;17;30;50
1051017;Busenwurth;8;3;0;0;1;1;3
1051019;Dellstedt;21;1;2;1;4;4;6
1051020;Delve;23;1;2;0;2;6;6
1051021;Diekhusen-Fahrstedt;13;1;1;1;3;1;4
1051022;Dingen;9;0;1;0;1;3;2
1051023;Dörpling;11;0;1;1;2;1;3
1051024;Eddelak;24;2;2;1;3;5;7
1051026;Eggstedt;8;0;1;0;1;3;2
1051027;Elpersbüttel;20;3;3;1;3;5;8
1051028;Epenwöhrden;14;1;0;1;3;2;5
1051030;Fedderingen;7;.;0;0;2;3;1
1051032;Frestedt;5;0;0;0;1;1;0
1051033;Friedrichsgabekoog;1;.;.;.;.;0;0
1051034;Friedrichskoog;52;4;5;2;6;12;13
1051035;Gaushorn;4;1;0;1;1;1;2
1051036;Glüsing;1;0;3;0;0;.;.
1051037;Großenrade;10;.;3;0;1;2;5
1051038;Groven;1;.;.;.;.;.;1
1051039;Gudendorf;12;1;2;0;2;3;3
1051040;Hägen;-;-;.;.;-;-;.
1051043;Hedwigenkoog;4;.;0;0;1;0;0
1051044;Heide;1004;267;45;41;160;129;289
1051045;Hellschen-Heringsand-Unterschaar;4;0;.;.;0;.;2
1051046;Helse;9;0;0;0;1;3;3
1051047;Hemme;15;0;1;1;1;4;3
1051048;Hemmingstedt;56;2;2;1;5;14;16
1051049;Hennstedt;57;6;2;1;7;13;18
1051050;Hillgroven;.;.;.;.;.;.;.
1051051;Hochdonn;31;1;1;1;6;9;8
1051052;Hövede;1;0;.;.;.;.;.
1051053;Hollingstedt;9;.;.;.;1;1;3
1051054;Immenstedt;1;.;.;.;0;0;0
1051057;Kaiser-Wilhelm-Koog;4;1;0;0;0;1;2
1051058;Karolinenkoog;5;.;1;0;.;2;2
1051060;Kleve, Dithmarschen;9;.;1;0;.;5;4
1051061;Krempel;13;0;2;0;1;4;5
1051062;Kronprinzenkoog;20;1;1;0;2;5;8
1051063;Krumstedt;8;.;2;1;2;1;1
1051064;Kuden;9;.;1;0;1;4;3
1051065;Lehe;21;2;1;0;2;5;6
1051067;Lieth;10;.;2;0;1;3;4
1051068;Linden;19;0;0;0;1;5;7
1051069;Lohe-Rickelshof;36;2;2;1;6;8;9
1051071;Lunden;91;15;3;5;14;14;25
1051072;Marne;171;20;11;7;22;36;50
1051073;Marnerdeich;9;1;0;0;1;3;2
1051074;Meldorf;232;48;10;8;29;42;75
1051075;Neuenkirchen;15;3;0;1;1;2;2
1051076;Neufeld;10;1;0;0;1;4;2
1051077;Neufelderkoog;1;.;.;.;.;0;0
1051078;Nindorf;20;1;3;1;3;5;8
1051079;Norddeich;11;2;0;0;3;1;2
1051080;Norderheistedt;4;.;0;0;0;3;1
1051081;Norderwöhrden;3;.;0;0;0;1;0
1051082;Nordhastedt;62;8;4;3;9;13;21
1051083;Odderade;8;0;0;1;1;1;2
1051084;Oesterdeichstrich;3;0;0;0;1;1;1
1051085;Offenbüttel;1;.;1;0;0;0;1
1051086;Osterrade;8;.;0;0;2;1;2
1051087;Ostrohe;17;2;1;1;2;4;4
1051088;Pahlen;31;1;3;1;3;8;10
1051089;Quickborn;1;.;.;.;.;.;.
1051090;Ramhusen;2;.;.;.;.;0;.
1051092;Rehm-Flehde-Bargen;14;2;1;0;1;6;5
1051093;Reinsbüttel;7;0;.;.;2;2;1
1051096;Sankt Annen;5;.;1;0;0;1;0
1051097;Sankt Michaelisdonn;76;12;4;2;11;14;22
1051098;Sarzbüttel;11;.;1;0;2;2;4
1051099;Schafstedt;20;2;0;0;3;4;5
1051100;Schalkholz;13;.;0;1;2;4;4
1051102;Schlichting;10;2;1;0;0;1;1
1051103;Schmedeswurth;4;.;1;0;0;2;.
1051104;Schrum;1;.;.;.;.;1;0
1051105;Schülp;11;1;1;0;2;3;2
1051107;Stelle-Wittenwurth;3;.;0;0;0;1;.
1051108;Strübbel;2;0;.;.;0;0;0
1051109;Süderdeich;15;1;1;0;1;4;5
1051110;Süderhastedt;17;.;1;0;2;2;5
1051111;Süderheistedt;-;-;.;.;-;-;.
1051113;Wöhrden;30;3;0;2;4;9;10
1051114;Tellingstedt;57;5;1;2;8;11;17
1051117;Tielenhemme;4;.;0;0;0;1;1
1051118;Trennewurth;4;.;.;.;0;1;1
1051119;Volsemenhusen;4;.;0;0;0;1;1
1051120;Wallen;1;.;.;.;.;.;0
1051121;Warwerort;8;.;1;0;0;5;1
1051122;Weddingstedt;40;2;1;1;4;7;12
1051125;Welmbüttel;14;1;1;0;2;5;4
1051126;Wennbüttel;1;.;.;.;0;1;.
1051127;Wesselburen;139;45;4;5;22;21;25
1051128;Wesselburener Deichhausen;0;.;0;0;0;.;.
1051129;Wesselburenerkoog;3;0;1;0;1;1;0
1051130;Wesseln;20;0;1;0;3;6;6
1051131;Westerborstel;2;.;.;.;.;1;.
1051132;Westerdeichstrich;26;4;3;0;2;11;5
1051133;Wiemerstedt;3;.;0;0;0;2;1
1051134;Windbergen;19;1;2;1;2;6;8
1051135;Wolmersdorf;1;.;0;0;0;0;.
1051136;Wrohm;21;2;2;0;2;4;6
1051137;Nordermeldorf;18;3;0;0;1;5;5
1051138;Tensbüttel-Röst;12;0;0;1;2;4;4
